seqnames	start	end	width	strand	tvalue	score	numOfTSS	overlapTSS	group	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS	ENTREZID	SYMBOL	GENENAME	absDistToTSS
chr7	44807950	44808327	378	*	3.9872	3.9872	0	not	0	3' UTR	7	44824649	44826939	2291	2	ENSG00000228596	18612	NA	NA	NA	18612
chr15	67316431	67316802	372	*	3.98855	3.98855	0	not	0	Intron (ENST00000558071/ENSG00000259347, intron 1 of 2)	15	67293115	67293519	405	2	ENSG00000259246	-22912	NA	NA	NA	22912
chr4	2063036	2063407	372	*	3.98988	3.98988	1	overlapTSS	0	Promoter (1-2kb)	4	2061239	2070816	9578	1	ENSG00000185818	1797	339983	NAT8L	N-acetyltransferase 8 like	1797
chr11	65210281	65210644	364	*	3.99077	3.99077	0	not	0	Exon (ENST00000501122/ENSG00000245532, exon 1 of 1)	11	65222728	65234028	11301	1	ENSG00000173727	-12084	NA	NA	NA	12084
chr17	72449697	72450060	364	*	3.99241	3.99241	0	not	0	Distal Intergenic	17	72462555	72480933	18379	1	ENSG00000167851	-12495	11314	CD300A	CD300a molecule	12495
chr12	122924646	122924985	340	*	3.9939	3.9939	0	not	0	Distal Intergenic	12	122755979	122907179	151201	2	ENSG00000130779	-17467	6249	CLIP1	CAP-Gly domain containing linker protein 1	17467
chr7	12130667	12131016	350	*	3.99401	3.99401	0	not	0	Distal Intergenic	7	12250867	12282993	32127	1	ENSG00000106460	-119851	54664	TMEM106B	transmembrane protein 106B	119851
chr2	237516219	237516564	346	*	3.99412	3.99412	0	not	0	Distal Intergenic	2	237476430	237491001	14572	1	ENSG00000144476	39789	57007	ACKR3	atypical chemokine receptor 3	39789
chr5	123998131	123998480	350	*	3.99466	3.99466	0	not	0	Intron (ENST00000504926/ENSG00000168916, intron 2 of 8)	5	124043520	124046430	2911	1	ENSG00000249112	-45040	NA	NA	NA	45040
chr14	105513968	105514305	338	*	3.9961	3.9961	2	overlapTSS	0	Downstream (1-2kb)	14	105515728	105531782	16055	2	ENSG00000183484	17477	29933	GPR132	G protein-coupled receptor 132	17477
chr1	154378042	154378377	336	*	3.99677	3.99677	3	overlapTSS	0	Promoter (<=1kb)	1	154377669	154441926	64258	1	ENSG00000160712	373	3570	IL6R	interleukin 6 receptor	373
chr7	105338670	105339011	342	*	3.99687	3.99687	0	not	0	Intron (ENST00000419735/ENSG00000146776, intron 3 of 11)	7	105205567	105241322	35756	2	ENSG00000185055	-97348	100130771	EFCAB10	EF-hand calcium binding domain 10	97348
chr3	42581652	42581977	326	*	3.99821	3.99821	0	not	0	Distal Intergenic	3	42548016	42574750	26735	2	ENSG00000232354	-6902	NA	NA	NA	6902
chr20	48330155	48330460	306	*	3.99989	3.99989	0	not	0	Promoter (<=1kb)	20	48249482	48330415	80934	2	ENSG00000158470	0	9334	B4GALT5	beta-1,4-galactosyltransferase 5	0
chr7	40741127	40741432	306	*	3.99994	3.99994	0	not	0	Intron (ENST00000309930/ENSG00000175600, intron 13 of 14)	7	40815157	40824816	9660	1	ENSG00000227658	-73725	NA	NA	NA	73725
chr13	107185178	107185695	518	*	3.92248	4.04649	0	not	0	Promoter (1-2kb)	13	107142079	107187462	45384	2	ENSG00000125266	1767	1948	EFNB2	ephrin B2	1767
chr10	125851262	125852811	1550	*	4.10647	4.10647	0	not	0	Promoter (<=1kb)	10	125767184	125853206	86023	2	ENSG00000182022	395	51363	CHST15	carbohydrate sulfotransferase 15	395
chr21	10699758	10700383	626	*	4.74302	4.74302	0	not	0	Distal Intergenic	21	10862622	10863067	446	1	ENSG00000169861	-162239	NA	NA	NA	162239
chr20	37522695	37523176	482	*	4.92803	4.92803	0	not	0	Intron (ENST00000299824/ENSG00000101445, intron 3 of 10)	20	37501413	37501720	308	1	ENSG00000240474	21282	NA	NA	NA	21282
chr7	127808305	127808748	444	*	4.93007	4.93007	0	not	0	Distal Intergenic	7	127847924	127847996	73	1	ENSG00000207705	-39176	406917	MIR129-1	microRNA 129-1	39176
chr3	195580790	195581189	400	*	4.9728	4.9728	0	not	0	Exon (ENST00000444346/ENSG00000223783, exon 1 of 2)	3	195563064	195587275	24212	2	ENSG00000223783	6086	NA	NA	NA	6086
chr19	2230957	2231356	400	*	4.97603	4.97603	5	overlapTSS	0	3' UTR	19	2234061	2234148	88	2	ENSG00000221411	2792	100302283	MIR1227	microRNA 1227	2792
chr1	202790755	202791142	388	*	4.97803	4.97803	0	not	0	Promoter (1-2kb)	1	202789394	202796353	6960	1	ENSG00000184774	1361	641515	MGAT4EP	MGAT4 family member E, pseudogene	1361
chr5	177638180	177638587	408	*	4.96998	4.98213	0	not	0	Exon (ENST00000476487/ENSG00000175309, exon 7 of 7)	5	177631508	177638164	6657	1	ENSG00000197451	6672	3182	HNRNPAB	heterogeneous nuclear ribonucleoprotein A/B	6672
chr11	62101635	62102024	390	*	4.98308	4.98308	0	not	0	Downstream (2-3kb)	11	62104920	62160882	55963	1	ENSG00000162174	-2896	80150	ASRGL1	asparaginase and isoaspartyl peptidase 1	2896
chr5	176981070	176981449	380	*	4.98508	4.98508	1	overlapTSS	0	Promoter (<=1kb)	5	176946789	176981542	34754	2	ENSG00000146067	93	54540	FAM193B	family with sequence similarity 193 member B	93
chr2	65016329	65016704	376	*	4.98689	4.98689	0	not	0	Distal Intergenic	2	65003238	65003321	84	1	ENSG00000253082	13091	NA	NA	NA	13091
chr12	58138983	58139350	368	*	4.98973	4.98973	3	overlapTSS	0	5' UTR	12	58118980	58135940	16961	2	ENSG00000135439	-3043	116986	AGAP2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2	3043
chr1	27385178	27385527	350	*	4.98982	4.98982	0	not	0	Distal Intergenic	1	27331511	27339327	7817	2	ENSG00000158246	-45851	115572	TENT5B	terminal nucleotidyltransferase 5B	45851
chr17	40574851	40575208	358	*	4.98984	4.98984	0	not	0	Promoter (<=1kb)	17	40554470	40575535	21066	2	ENSG00000177469	327	284119	CAVIN1	caveolae associated protein 1	327
chr22	37897649	37897996	348	*	4.99051	4.99051	0	not	0	Intron (ENST00000403299/ENSG00000100065, intron 12 of 20)	22	37865101	37882439	17339	2	ENSG00000100060	-15210	4242	MFNG	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	15210
chr6	133119980	133120329	350	*	4.99088	4.99088	0	not	0	Promoter (<=1kb)	6	133090509	133119701	29193	2	ENSG00000146409	-279	116843	SLC18B1	solute carrier family 18 member B1	279
chr16	67034513	67034864	352	*	4.99278	4.99278	2	overlapTSS	0	5' UTR	16	67022492	67043661	21170	1	ENSG00000172824	12021	283848	CES4A	carboxylesterase 4A	12021
chr20	31332132	31332483	352	*	4.99279	4.99279	0	not	0	Promoter (<=1kb)	20	31290493	31331803	41311	2	ENSG00000149600	-329	149951	COMMD7	COMM domain containing 7	329
chr1	165325587	165325920	334	*	4.99695	4.99695	0	not	0	Promoter (<=1kb)	1	165171104	165325952	154849	2	ENSG00000162761	32	4009	LMX1A	LIM homeobox transcription factor 1 alpha	32
chr19	5563711	5564048	338	*	4.99715	4.99715	1	overlapTSS	0	Intron (ENST00000448587/ENSG00000223573, intron 1 of 2)	19	5558178	5568045	9868	2	ENSG00000223573	3997	257000	TINCR	TINCR ubiquitin domain containing	3997
chr1	156721059	156721390	332	*	4.9979	4.9979	0	not	0	Promoter (<=1kb)	1	156720402	156770607	50206	1	ENSG00000143294	657	5546	PRCC	proline rich mitotic checkpoint control factor	657
chr19	641101	641516	416	*	4.93497	5.20533	2	overlapTSS	0	Promoter (1-2kb)	19	639879	643703	3825	1	ENSG00000070388	1222	27006	FGF22	fibroblast growth factor 22	1222
chr10	42541916	42542545	630	*	5.79142	5.79142	0	not	0	Distal Intergenic	10	42644758	42644997	240	2	ENSG00000229485	102452	NA	NA	NA	102452
chr7	104650500	104651025	526	*	5.87423	5.87423	0	not	0	Intron (ENST00000450686/ENSG00000228393, intron 1 of 2)	7	104590762	104653491	62730	2	ENSG00000228393	2466	NA	NA	NA	2466
chrX	3012204	3012757	554	*	5.88277	5.88277	0	not	0	Intron (ENST00000381127/ENSG00000062096, intron 7 of 10)	23	3030941	3031637	697	2	ENSG00000230249	18880	NA	NA	NA	18880
chr1	109812270	109812709	440	*	5.93845	5.93845	0	not	0	Exon (ENST00000271332/ENSG00000143126, exon 22 of 34)	1	109822178	109825808	3631	2	ENSG00000134222	13099	84722	PSRC1	proline and serine rich coiled-coil 1	13099
chr3	44039727	44040166	440	*	5.93994	5.94013	2	overlapTSS	0	Promoter (<=1kb)	3	44039573	44040641	1069	2	ENSG00000272121	475	NA	NA	NA	475
chr12	57409991	57410440	450	*	5.94031	5.94031	0	not	0	5' UTR	12	57392618	57400230	7613	2	ENSG00000166860	-9761	9880	ZBTB39	zinc finger and BTB domain containing 39	9761
chr17	77783459	77783882	424	*	5.94056	5.94056	1	overlapTSS	0	Promoter (<=1kb)	17	77784478	77784573	96	1	ENSG00000238331	-596	NA	NA	NA	596
chr7	157071305	157071720	416	*	5.95504	5.95504	0	not	0	Downstream (2-3kb)	7	157074230	157075380	1151	2	ENSG00000229660	3660	NA	NA	NA	3660
chr8	144964202	144964603	402	*	5.96108	5.96108	1	overlapTSS	0	Distal Intergenic	8	144939497	144952632	13136	2	ENSG00000227184	-11570	NA	NA	NA	11570
chr7	45016704	45017127	424	*	5.96507	5.96522	0	not	0	Promoter (1-2kb)	7	45002261	45018697	16437	2	ENSG00000136286	1570	64005	MYO1G	myosin IG	1570
chr9	86660287	86660676	390	*	5.96685	5.96685	0	not	0	Distal Intergenic	9	86678358	86709492	31135	1	ENSG00000227463	-17682	101927575	LOC101927575	uncharacterized LOC101927575	17682
chr7	157102135	157102526	392	*	5.97155	5.97155	0	not	0	Distal Intergenic	7	157098487	157098765	279	1	ENSG00000266453	3648	NA	NA	NA	3648
chrX	109661822	109662207	386	*	5.98013	5.98013	1	overlapTSS	0	Intron (ENST00000520821/ENSG00000243978, intron 1 of 2)	23	109437414	109683461	246048	2	ENSG00000101935	21254	9949	AMMECR1	AMMECR nuclear protein 1	21254
chr5	108147137	108147494	358	*	5.98987	5.98987	0	not	0	Intron (ENST00000536402/ENSG00000151422, intron 2 of 9)	5	108153742	108166491	12750	2	ENSG00000250383	18997	NA	NA	NA	18997
chr4	16094848	16095193	346	*	5.99543	5.99543	0	not	0	Distal Intergenic	4	15964699	16086001	121303	2	ENSG00000007062	-8847	8842	PROM1	prominin 1	8847
chr2	242513264	242513603	340	*	5.9959	5.9959	0	not	0	3' UTR	2	242521337	242522141	805	1	ENSG00000273113	-7734	NA	NA	NA	7734
chr18	67956615	67956938	324	*	5.99781	5.99781	1	overlapTSS	0	Promoter (<=1kb)	18	67956137	67997436	41300	1	ENSG00000170677	478	9306	SOCS6	suppressor of cytokine signaling 6	478
chr1	37943771	37944142	372	*	5.98137	6.02809	0	not	0	Intron (ENST00000373087/ENSG00000163874, intron 2 of 5)	1	37940153	37949980	9828	1	ENSG00000163874	3618	80149	ZC3H12A	zinc finger CCCH-type containing 12A	3618
chr6	121252195	121253730	1536	*	5.99022	6.35533	0	not	0	Distal Intergenic	6	121102366	121102658	293	1	ENSG00000216710	149829	NA	NA	NA	149829
chr11	584985	585940	956	*	6.5257	6.5257	0	not	0	Intron (ENST00000534320/ENSG00000070047, intron 3 of 17)	11	576486	612222	35737	1	ENSG00000070047	8499	57661	PHRF1	PHD and ring finger domains 1	8499
chr4	9875	10450	576	*	6.71089	6.71089	0	not	0	Distal Intergenic	4	48991	50018	1028	2	ENSG00000248302	39568	NA	NA	NA	39568
chr4	163342243	163342838	596	*	6.81759	6.81759	0	not	0	Distal Intergenic	4	163243340	163245059	1720	1	ENSG00000251253	98903	NA	NA	NA	98903
chrX	68132391	68132890	500	*	6.8408	6.8408	0	not	0	Distal Intergenic	23	68048840	68061990	13151	1	ENSG00000090776	83551	1947	EFNB1	ephrin B1	83551
chr5	58792245	58792764	520	*	6.85508	6.85508	0	not	0	Intron (ENST00000340635/ENSG00000113448, intron 1 of 14)	5	58824687	58825077	391	1	ENSG00000251306	-31923	NA	NA	NA	31923
chr2	153648934	153649429	496	*	6.86627	6.86627	0	not	0	Distal Intergenic	2	153707167	153707338	172	2	ENSG00000234932	57909	NA	NA	NA	57909
chr10	28917486	28917927	442	*	6.86946	6.86946	0	not	0	Distal Intergenic	10	28941559	28941684	126	1	ENSG00000252401	-23632	NA	NA	NA	23632
chr11	118827035	118827516	482	*	6.87299	6.87299	1	overlapTSS	0	5' UTR	11	118821578	118824153	2576	2	ENSG00000264523	-2882	NA	NA	NA	2882
chr7	36323754	36324235	482	*	6.87337	6.87337	0	not	0	Intron (ENST00000242108/ENSG00000122547, intron 4 of 7)	7	36345240	36345513	274	1	ENSG00000234457	-21005	NA	NA	NA	21005
chr3	51671691	51672140	450	*	6.9133	6.9133	0	not	0	Intron (ENST00000487093/ENSG00000164080, intron 10 of 21)	3	51696709	51738339	41631	1	ENSG00000164081	-24569	51368	TEX264	testis expressed 264, ER-phagy receptor	24569
chr9	98196640	98197101	462	*	6.91983	6.91983	0	not	0	Distal Intergenic	9	98177116	98189078	11963	2	ENSG00000237857	-7562	NA	NA	NA	7562
chr7	150895903	150896342	440	*	6.92105	6.92105	0	not	0	Exon (ENST00000453127/ENSG00000183016, exon 6 of 19)	7	150888067	150902582	14516	2	ENSG00000183016	6240	NA	NA	NA	6240
chr10	112169736	112170213	478	*	6.91051	6.92156	0	not	0	Distal Intergenic	10	112193999	112194143	145	1	ENSG00000221359	-23786	NA	NA	NA	23786
chr1	173834262	173834739	478	*	6.9271	6.92968	11	overlapTSS	0	Promoter (<=1kb)	1	173834760	173834824	65	2	ENSG00000208317	85	NA	NA	NA	85
chr3	49509878	49510303	426	*	6.9362	6.9362	0	not	0	Intron (ENST00000469139/ENSG00000173402, intron 1 of 1)	3	49506146	49573048	66903	1	ENSG00000173402	3732	1605	DAG1	dystroglycan 1	3732
chr19	46268576	46268993	418	*	6.95914	6.95914	4	overlapTSS	0	Promoter (<=1kb)	19	46268043	46273064	5022	1	ENSG00000259605	533	NA	NA	NA	533
chr2	11891258	11891671	414	*	6.9595	6.95951	0	not	0	Intron (ENST00000449576/ENSG00000134324, intron 2 of 21)	2	11881123	11885427	4305	2	ENSG00000230790	-5831	NA	NA	NA	5831
chr6	44238853	44239238	386	*	6.96726	6.96726	3	overlapTSS	0	Promoter (<=1kb)	6	44238203	44275243	37041	1	ENSG00000178233	650	441151	TMEM151B	transmembrane protein 151B	650
chr1	43212632	43213019	388	*	6.96785	6.96785	3	overlapTSS	0	Exon (ENST00000397054/ENSG00000117385, exon 14 of 15)	1	43198764	43205925	7162	2	ENSG00000164007	-6707	149461	CLDN19	claudin 19	6707
chr18	2002469	2002860	392	*	6.96789	6.96789	0	not	0	Intron (ENST00000584867/ENSG00000263745, intron 2 of 5)	18	1927728	1929095	1368	2	ENSG00000264189	-73374	NA	NA	NA	73374
chr10	6187065	6187432	368	*	6.97209	6.97209	2	overlapTSS	0	Promoter (<=1kb)	10	6186881	6277495	90615	1	ENSG00000170525	184	5209	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	184
chr1	229546863	229547262	400	*	6.97313	6.97313	1	overlapTSS	0	Promoter (<=1kb)	1	229546247	229546514	268	2	ENSG00000252051	-349	NA	NA	NA	349
chr1	201682903	201683262	360	*	6.98805	6.98805	0	not	0	Intron (ENST00000367302/ENSG00000134369, intron 4 of 29)	1	201688636	201688755	120	1	ENSG00000264802	-5374	100847050	MIR5191	microRNA 5191	5374
chr3	184097534	184097877	344	*	6.98867	6.98867	3	overlapTSS	0	Promoter (<=1kb)	3	184097861	184108524	10664	1	ENSG00000090539	0	8646	CHRD	chordin	0
chr9	134581612	134581951	340	*	6.99246	6.99246	0	not	0	Intron (ENST00000372189/ENSG00000107263, intron 1 of 23)	9	134600556	134600854	299	2	ENSG00000240853	18903	NA	NA	NA	18903
chr15	99558477	99558834	358	*	6.99341	6.99341	3	overlapTSS	0	Intron (ENST00000559468/ENSG00000259475, intron 2 of 3)	15	99511459	99551024	39566	2	ENSG00000183571	-7453	145814	PGPEP1L	pyroglutamyl-peptidase I like	7453
chr2	223712150	223712575	426	*	6.91757	7.1904	0	not	0	Distal Intergenic	2	223725652	223809357	83706	1	ENSG00000123983	-13077	2181	ACSL3	acyl-CoA synthetase long chain family member 3	13077
chr13	114027168	114027913	746	*	7.2148	7.22458	0	not	0	Distal Intergenic	13	113978505	114018446	39942	2	ENSG00000139835	-8722	79774	GRTP1	growth hormone regulated TBC protein 1	8722
chr11	31576353	31577022	670	*	7.34589	7.34589	0	not	0	Intron (ENST00000350638/ENSG00000109911, intron 3 of 9)	11	31531297	31805546	274250	1	ENSG00000109911	45056	26610	ELP4	elongator acetyltransferase complex subunit 4	45056
chr6	44219770	44220367	598	*	7.47715	7.47896	7	overlapTSS	0	Promoter (1-2kb)	6	44221943	44222022	80	2	ENSG00000265700	1655	NA	NA	NA	1655
chr1	243646112	243646657	546	*	7.7622	7.7622	0	not	0	Intron (ENST00000355875/ENSG00000054282, intron 15 of 16)	1	243708834	243711631	2798	1	ENSG00000236031	-62177	NA	NA	NA	62177
