seqnames	start	end	width	strand	tvalue	score	numOfTSS	overlapTSS	group	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS	ENTREZID	SYMBOL	GENENAME	absDistToTSS
chr3	194104678	194104977	300	*	1	1	0	not	0	Distal Intergenic	3	194075976	194090472	14497	2	ENSG00000172061	-14206	131578	LRRC15	leucine rich repeat containing 15	14206
chr5	138052426	138052725	300	*	1	1	0	not	0	Intron (ENST00000517980/ENSG00000044115, intron 2 of 5)	5	138080123	138088998	8876	2	ENSG00000253404	36273	105379194	LOC105379194	uncharacterized LOC105379194	36273
chr7	2910581	2910880	300	*	1	1	0	not	0	Distal Intergenic	7	2767746	2883958	116213	2	ENSG00000146535	-26623	2768	GNA12	G protein subunit alpha 12	26623
chr7	155082838	155083137	300	*	1	1	0	not	0	Distal Intergenic	7	155087628	155089251	1624	2	ENSG00000273117	6114	NA	NA	NA	6114
chr8	142718224	142718523	300	*	1	1	0	not	0	Distal Intergenic	8	142524738	142528837	4100	1	ENSG00000226490	193486	NA	NA	NA	193486
chr8	143213416	143213715	300	*	1	1	0	not	0	Distal Intergenic	8	143171188	143172980	1793	1	ENSG00000261710	42228	NA	NA	NA	42228
chr8	143704447	143704746	300	*	1	1	0	not	0	Distal Intergenic	8	143701734	143702425	692	1	ENSG00000261044	2713	NA	NA	NA	2713
chr9	102860835	102861134	300	*	1	1	3	overlapTSS	0	Promoter (<=1kb)	9	102741461	102861322	119862	2	ENSG00000023318	188	23071	ERP44	endoplasmic reticulum protein 44	188
chr9	130915579	130915878	300	*	1	1	0	not	0	3' UTR	9	130911350	130915734	4385	1	ENSG00000148346	4229	3934	LCN2	lipocalin 2	4229
chr9	139479159	139479458	300	*	1	1	0	not	0	Distal Intergenic	9	139496967	139497062	96	1	ENSG00000252440	-17509	NA	NA	NA	17509
chr9	139916560	139916859	300	*	1	1	0	not	0	3' UTR	9	139921916	139931234	9319	1	ENSG00000180539	-5057	401563	C9orf139	chromosome 9 open reading frame 139	5057
chrX	12993171	12993470	300	*	1	1	4	overlapTSS	0	Promoter (<=1kb)	23	12993227	12995346	2120	1	ENSG00000205542	0	7114	TMSB4X	thymosin beta 4 X-linked	0
chr1	156673693	156673992	300	*	1	1.00001	0	not	0	Promoter (1-2kb)	1	156669398	156675608	6211	2	ENSG00000143320	1616	1382	CRABP2	cellular retinoic acid binding protein 2	1616
chr22	17815334	17815633	300	*	1	1.00003	0	not	0	Distal Intergenic	22	17809924	17810122	199	1	ENSG00000231004	5410	NA	NA	NA	5410
chr9	139867576	139867875	300	*	1	1.00003	0	not	0	Promoter (1-2kb)	9	139869546	139871433	1888	1	ENSG00000238268	-1671	NA	NA	NA	1671
chr6	31513364	31513663	300	*	1	1.00006	5	overlapTSS	0	Promoter (<=1kb)	6	31497996	31514385	16390	2	ENSG00000254870	722	100532737	ATP6V1G2-DDX39B	ATP6V1G2-DDX39B readthrough (NMD candidate)	722
chr22	24949237	24949536	300	*	1	1.0001	0	not	0	Promoter (1-2kb)	22	24951471	25005947	54477	1	ENSG00000100028	-1935	6634	SNRPD3	small nuclear ribonucleoprotein D3 polypeptide	1935
chr17	55629453	55629752	300	*	1	1.00023	0	not	0	Intron (ENST00000416426/ENSG00000153944, intron 7 of 13)	17	55599609	55600958	1350	2	ENSG00000266100	-28495	101927557	LOC101927557	uncharacterized LOC101927557	28495
chr5	10327	10626	300	*	1	1.00028	0	not	0	Distal Intergenic	5	58313	59030	718	1	ENSG00000250020	-47687	NA	NA	NA	47687
chr8	41693720	41694021	302	*	0.999994	1.00064	0	not	0	Intron (ENST00000265709/ENSG00000029534, intron 1 of 42)	8	41697580	41697857	278	2	ENSG00000241834	3836	NA	NA	NA	3836
chr6	36690137	36690496	360	*	0.995012	1.02353	0	not	0	Exon (ENST00000229824/ENSG00000255587, exon 6 of 11)	6	36683256	36699870	16615	1	ENSG00000255587	6881	401258	RAB44	RAB44, member RAS oncogene family	6881
chr22	38086804	38087177	374	*	1.98525	1.98525	0	not	0	Exon (ENST00000468597/ENSG00000100101, exon 5 of 5)	22	38093011	38172563	79553	1	ENSG00000100106	-5834	11078	TRIOBP	TRIO and F-actin binding protein	5834
chr4	64458	64831	374	*	1.98525	1.98525	1	overlapTSS	0	Promoter (<=1kb)	4	65017	65125	109	1	ENSG00000207643	-186	NA	NA	NA	186
chr17	43893436	43893797	362	*	1.98935	1.98935	0	not	0	Intron (ENST00000293493/ENSG00000120088, intron 3 of 13)	17	43922256	43924438	2183	1	ENSG00000185294	-28459	162540	SPPL2C	signal peptide peptidase like 2C	28459
chr21	34397636	34397991	356	*	1.99131	1.99131	2	overlapTSS	0	Promoter (<=1kb)	21	34398153	34401504	3352	1	ENSG00000205927	-162	10215	OLIG2	oligodendrocyte transcription factor 2	162
chr19	46018095	46018442	348	*	1.99387	1.99387	0	not	0	Intron (ENST00000589627/ENSG00000125753, intron 2 of 2)	19	46009837	46030241	20405	1	ENSG00000125753	8258	7408	VASP	vasodilator stimulated phosphoprotein	8258
chr14	95927991	95928336	346	*	1.99413	1.99413	0	not	0	Intron (ENST00000334258/ENSG00000176438, intron 3 of 16)	14	95883831	95942173	58343	2	ENSG00000176438	13837	161176	SYNE3	spectrin repeat containing nuclear envelope family member 3	13837
chr2	2706093	2706438	346	*	1.99438	1.99438	0	not	0	Distal Intergenic	2	2733680	2734729	1050	2	ENSG00000227364	28291	NA	NA	NA	28291
chr4	87856783	87857122	340	*	1.99578	1.99578	1	overlapTSS	0	Promoter (<=1kb)	4	87797358	87857354	59997	2	ENSG00000163633	232	132989	C4orf36	chromosome 4 open reading frame 36	232
chr1	45128024	45128359	336	*	1.9964	1.9964	0	not	0	Intron (ENST00000372242/ENSG00000126106, intron 1 of 4)	1	45100910	45140227	39318	2	ENSG00000126106	11868	79639	TMEM53	transmembrane protein 53	11868
chr10	72996350	72996685	336	*	1.9964	1.9964	0	not	0	Intron (ENST00000335350/ENSG00000107731, intron 1 of 16)	10	72976981	72977985	1005	2	ENSG00000237512	-18365	728978	UNC5B-AS1	UNC5B antisense RNA 1	18365
chr2	60523031	60523374	344	*	1.99487	1.9964	0	not	0	Distal Intergenic	2	60577730	60580151	2422	2	ENSG00000228590	56777	106660609	MIR4432HG	MIR4432 host gene	56777
chr17	47990662	47990993	332	*	1.99716	1.99716	1	overlapTSS	0	Promoter (<=1kb)	17	47991767	48010282	18516	1	ENSG00000254039	-774	NA	NA	NA	774
chr1	3693359	3693692	334	*	1.99697	1.99739	1	overlapTSS	0	Distal Intergenic	1	3689352	3692546	3195	1	ENSG00000235169	4007	388588	SMIM1	small integral membrane protein 1 (Vel blood group)	4007
chr3	50517291	50517620	330	*	1.99766	1.99766	0	not	0	Intron (ENST00000423994/ENSG00000007402, intron 1 of 38)	3	50400233	50541675	141443	2	ENSG00000007402	24055	9254	CACNA2D2	calcium voltage-gated channel auxiliary subunit alpha2delta 2	24055
chr13	20359418	20359745	328	*	1.99797	1.99797	0	not	0	Distal Intergenic	13	20248896	20357142	108247	2	ENSG00000121390	-2276	55269	PSPC1	paraspeckle component 1	2276
chr14	102023800	102024125	326	*	1.99812	1.99812	4	overlapTSS	0	Exon (ENST00000556266/ENSG00000258498, exon 2 of 3)	14	102018558	102026768	8211	2	ENSG00000258498	2643	64150	DIO3OS	DIO3 opposite strand upstream RNA	2643
chr8	143306252	143306577	326	*	1.99826	1.99826	0	not	0	Intron (ENST00000524325/ENSG00000171045, intron 13 of 13)	8	143328948	143329227	280	2	ENSG00000253602	22650	NA	NA	NA	22650
chr7	5441129	5441450	322	*	1.99866	1.99866	0	not	0	Intron (ENST00000399537/ENSG00000182095, intron 2 of 29)	7	5459458	5460398	941	1	ENSG00000241269	-18008	NA	NA	NA	18008
chr9	38280738	38281059	322	*	1.99877	1.99877	0	not	0	Distal Intergenic	9	38360424	38376427	16004	1	ENSG00000223716	-79365	NA	NA	NA	79365
chr21	43085418	43085737	320	*	1.99889	1.99889	0	not	0	Distal Intergenic	21	43099341	43117496	18156	1	ENSG00000227702	-13604	NA	NA	NA	13604
chr19	38857242	38857557	316	*	1.99929	1.99929	0	not	0	Exon (ENST00000492088/ENSG00000099338, exon 2 of 5)	19	38852435	38853124	690	2	ENSG00000266963	-4118	NA	NA	NA	4118
chr5	178785127	178785442	316	*	1.99937	1.99937	0	not	0	Distal Intergenic	5	178537852	178772431	234580	2	ENSG00000087116	-12696	9509	ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2	12696
chr11	69561168	69561481	314	*	1.99946	1.99946	0	not	0	Distal Intergenic	11	69552066	69552785	720	2	ENSG00000256441	-8383	NA	NA	NA	8383
chr1	4694264	4694575	312	*	1.9996	1.9996	0	not	0	Distal Intergenic	1	4714792	4852594	137803	1	ENSG00000196581	-20217	55966	AJAP1	adherens junctions associated protein 1	20217
chr1	48315056	48315367	312	*	1.9996	1.9996	0	not	0	Intron (ENST00000606738/ENSG00000269113, intron 2 of 6)	1	48283738	48285909	2172	1	ENSG00000225028	31318	NA	NA	NA	31318
chr15	65137809	65138120	312	*	1.9996	1.9996	0	not	0	Intron (ENST00000502574/ENSG00000249240, intron 1 of 5)	15	65134088	65160206	26119	1	ENSG00000241839	3721	80301	PLEKHO2	pleckstrin homology domain containing O2	3721
chr9	134406917	134407228	312	*	1.99966	1.99966	0	not	0	Promoter (<=1kb)	9	134399188	134406655	7468	2	ENSG00000130717	-262	83549	UCK1	uridine-cytidine kinase 1	262
chr14	74259199	74259508	310	*	1.99972	1.99972	0	not	0	Intron (ENST00000556194/ENSG00000259065, intron 2 of 2)	14	74181825	74256988	75164	2	ENSG00000156030	-2211	91748	ELMSAN1	ELM2 and Myb/SANT domain containing 1	2211
chr2	105854068	105854377	310	*	1.99972	1.99972	0	not	0	Distal Intergenic	2	105858200	105859924	1725	1	ENSG00000135973	-3823	11250	GPR45	G protein-coupled receptor 45	3823
chr7	155198206	155198515	310	*	1.99977	1.99977	0	not	0	Distal Intergenic	7	155192617	155194477	1861	1	ENSG00000260426	5589	NA	NA	NA	5589
chr2	11023523	11023830	308	*	1.99982	1.99982	0	not	0	Intron (ENST00000607419/ENSG00000271952, intron 1 of 1)	2	11018395	11025244	6850	1	ENSG00000271952	5128	101929733	LINC01954	long intergenic non-protein coding RNA 1954	5128
chr2	242714075	242714382	308	*	1.99982	1.99982	1	overlapTSS	0	Promoter (1-2kb)	2	242716240	242743623	27384	1	ENSG00000154252	-1858	64090	GAL3ST2	galactose-3-O-sulfotransferase 2	1858
chr1	204897661	204897968	308	*	1.99986	1.99986	0	not	0	Intron (ENST00000404977/ENSG00000163531, intron 2 of 25)	1	204915736	204916297	562	1	ENSG00000229657	-17768	NA	NA	NA	17768
chr17	19458524	19458831	308	*	1.99986	1.99986	1	overlapTSS	0	Promoter (1-2kb)	17	19460524	19461224	701	1	ENSG00000266079	-1693	677882	SNORA59B	small nucleolar RNA, H/ACA box 59B	1693
chr12	1627985	1628290	306	*	1.9999	1.9999	0	not	0	Distal Intergenic	12	1639057	1756409	117353	1	ENSG00000111186	-10767	81029	WNT5B	Wnt family member 5B	10767
chr14	101011263	101011568	306	*	1.9999	1.9999	0	not	0	5' UTR	14	101005276	101006746	1471	1	ENSG00000259031	5987	NA	NA	NA	5987
chr17	40193302	40193607	306	*	1.9999	1.9999	0	not	0	Promoter (1-2kb)	17	40192731	40195135	2405	2	ENSG00000267221	1528	110806298	C17orf113	chromosome 17 open reading frame 113	1528
chr4	25996970	25997279	310	*	1.99972	1.99994	0	not	0	Distal Intergenic	4	26113487	26115461	1975	1	ENSG00000248452	-116208	NA	NA	NA	116208
chr1	15378986	15379289	304	*	1.99996	1.99996	0	not	0	Intron (ENST00000491547/ENSG00000189337, intron 4 of 6)	1	15442448	15478960	36513	2	ENSG00000175147	99671	200197	TMEM51-AS1	TMEM51 antisense RNA 1	99671
chr2	234123049	234123352	304	*	1.99996	1.99996	0	not	0	Intron (ENST00000431917/ENSG00000085978, intron 2 of 5)	2	234118697	234204320	85624	1	ENSG00000085978	4352	55054	ATG16L1	autophagy related 16 like 1	4352
chr13	113633091	113633394	304	*	1.99997	1.99997	1	overlapTSS	0	Intron (ENST00000375608/ENSG00000126217, intron 2 of 29)	13	113621798	113623138	1341	2	ENSG00000235280	-9953	NA	NA	NA	9953
chr19	2310019	2310322	304	*	1.99997	1.99997	0	not	0	Promoter (1-2kb)	19	2289774	2308156	18383	2	ENSG00000220008	-1863	645191	LINGO3	leucine rich repeat and Ig domain containing 3	1863
chr7	27231157	27231460	304	*	1.99997	1.99997	0	not	0	Promoter (1-2kb)	7	27226192	27233067	6876	2	ENSG00000253508	1607	NA	NA	NA	1607
chr11	113278805	113279106	302	*	1.99999	1.99999	4	overlapTSS	0	Intron (ENST00000546284/ENSG00000256757, intron 2 of 3)	11	113276043	113282839	6797	1	ENSG00000256757	2762	NA	NA	NA	2762
chr16	31263579	31263880	302	*	1.99999	1.99999	0	not	0	Distal Intergenic	16	31271311	31344213	72903	1	ENSG00000169896	-7431	3684	ITGAM	integrin subunit alpha M	7431
chr3	128757448	128757749	302	*	1.99999	1.99999	0	not	0	Exon (ENST00000480450/ENSG00000114654, exon 7 of 8)	3	128764606	128765764	1159	1	ENSG00000249505	-6857	NA	NA	NA	6857
chr2	20398303	20398608	306	*	1.99993	2.00007	2	overlapTSS	0	Downstream (1-2kb)	2	20375566	20375670	105	1	ENSG00000200763	22737	NA	NA	NA	22737
chr5	176104890	176105201	312	*	1.9996	2.00028	0	not	0	Distal Intergenic	5	176074388	176086058	11671	1	ENSG00000048140	30502	26262	TSPAN17	tetraspanin 17	30502
chr19	55690930	55691235	306	*	1.99993	2.0004	2	overlapTSS	0	Promoter (<=1kb)	19	55682567	55691809	9243	2	ENSG00000129990	574	6861	SYT5	synaptotagmin 5	574
chr8	143016173	143016474	302	*	1.99999	2.0015	0	not	0	Distal Intergenic	8	143026860	143026986	127	1	ENSG00000221123	-10386	NA	NA	NA	10386
chr16	8978524	8978853	330	*	1.9983	2.0041	1	overlapTSS	0	Distal Intergenic	16	8963108	8963889	782	1	ENSG00000261481	15416	NA	NA	NA	15416
chr6	43740760	43741081	322	*	1.99932	2.00868	8	overlapTSS	0	Exon (ENST00000480614/ENSG00000112715, exon 1 of 3)	6	43738166	43738353	188	2	ENSG00000272114	-2407	NA	NA	NA	2407
chr2	218874469	218874792	324	*	1.99906	2.01537	0	not	0	Distal Intergenic	2	218664512	218867718	203207	2	ENSG00000079308	-6751	7145	TNS1	tensin 1	6751
chr2	85625439	85625790	352	*	1.99516	2.04953	0	not	0	Exon (ENST00000471064/ENSG00000042493, exon 1 of 3)	2	85614197	85614269	73	2	ENSG00000273196	-11170	NA	NA	NA	11170
chr8	67186323	67186748	426	*	1.97639	2.08702	0	not	0	Distal Intergenic	8	67104328	67109550	5223	1	ENSG00000253138	81995	100505659	LINC00967	long intergenic non-protein coding RNA 967	81995
chr9	126799493	126799892	400	*	1.97241	2.08946	0	not	0	Distal Intergenic	9	126793903	126794803	901	2	ENSG00000234921	-4690	NA	NA	NA	4690
chr8	67187019	67187414	396	*	1.98088	2.0933	0	not	0	Distal Intergenic	8	67104328	67109550	5223	1	ENSG00000253138	82691	100505659	LINC00967	long intergenic non-protein coding RNA 967	82691
chr14	74711440	74711885	446	*	1.94692	2.09675	0	not	0	Exon (ENST00000261980/ENSG00000119614, exon 3 of 5)	14	74706175	74729441	23267	1	ENSG00000119614	5265	338917	VSX2	visual system homeobox 2	5265
chr15	90303702	90304103	402	*	2.97866	2.97866	1	overlapTSS	0	Promoter (<=1kb)	15	90303822	90321982	18161	1	ENSG00000188095	0	145873	MESP2	mesoderm posterior bHLH transcription factor 2	0
chr11	66102670	66103067	398	*	2.98002	2.98002	4	overlapTSS	0	Promoter (<=1kb)	11	66101965	66107346	5382	1	ENSG00000254756	705	NA	NA	NA	705
chr12	110200964	110201337	374	*	2.98485	2.98485	0	not	0	Intron (ENST00000538780/ENSG00000139438, intron 2 of 2)	12	110171971	110211313	39343	2	ENSG00000255650	9976	84983	FAM222A-AS1	FAM222A antisense RNA 1	9976
chr10	73488658	73489033	376	*	2.98514	2.98514	0	not	0	Intron (ENST00000224721/ENSG00000107736, intron 29 of 68)	10	73471458	73497581	26124	2	ENSG00000214688	8548	414152	C10orf105	chromosome 10 open reading frame 105	8548
chr5	176083183	176083560	378	*	2.98668	2.98668	0	not	0	Intron (ENST00000310032/ENSG00000048140, intron 6 of 8)	5	176074388	176086058	11671	1	ENSG00000048140	8795	26262	TSPAN17	tetraspanin 17	8795
chr3	129318127	129318506	380	*	2.98671	2.98671	0	not	0	Intron (ENST00000324093/ENSG00000004399, intron 1 of 35)	3	129274018	129325661	51644	2	ENSG00000004399	7155	23129	PLXND1	plexin D1	7155
chr3	57934328	57934693	366	*	2.98986	2.98986	0	not	0	Distal Intergenic	3	57927545	57928031	487	1	ENSG00000213509	6783	NA	NA	NA	6783
chr12	56637117	56637478	362	*	2.99001	2.99001	0	not	0	Exon (ENST00000548241/ENSG00000139645, exon 5 of 6)	12	56623833	56631630	7798	1	ENSG00000139540	13284	283375	SLC39A5	solute carrier family 39 member 5	13284
chr2	237521686	237522051	366	*	2.99036	2.99036	0	not	0	Distal Intergenic	2	237476430	237491001	14572	1	ENSG00000144476	45256	57007	ACKR3	atypical chemokine receptor 3	45256
chr15	69580808	69581167	360	*	2.99135	2.99135	0	not	0	Exon (ENST00000558269/ENSG00000259504, exon 4 of 4)	15	69571014	69587661	16648	1	ENSG00000259504	9794	NA	NA	NA	9794
chr14	65204239	65204602	364	*	2.99139	2.99139	2	overlapTSS	0	Intron (ENST00000247226/ENSG00000126822, intron 12 of 14)	14	65170820	65213610	42791	1	ENSG00000126822	33419	26030	PLEKHG3	pleckstrin homology and RhoGEF domain containing G3	33419
chr14	94230067	94230426	360	*	2.99181	2.99181	0	not	0	Intron (ENST00000393143/ENSG00000175785, intron 2 of 3)	14	94184644	94254827	70184	2	ENSG00000175785	24401	145270	PRIMA1	proline rich membrane anchor 1	24401
chr4	190649824	190650175	352	*	2.9942	2.9942	0	not	0	Distal Intergenic	4	190630693	190630868	176	2	ENSG00000202215	-18956	NA	NA	NA	18956
chr2	171831941	171832284	344	*	2.99507	2.99507	0	not	0	Distal Intergenic	2	171784974	171823639	38666	1	ENSG00000115806	46967	26003	GORASP2	golgi reassembly stacking protein 2	46967
chr4	1786318	1786663	346	*	2.99529	2.99529	0	not	0	Distal Intergenic	4	1795034	1810599	15566	1	ENSG00000068078	-8371	2261	FGFR3	fibroblast growth factor receptor 3	8371
chr7	154889758	154890103	346	*	2.99537	2.99537	0	not	0	Distal Intergenic	7	154898110	154898361	252	1	ENSG00000228806	-8007	NA	NA	NA	8007
chr13	64652507	64652852	346	*	2.99547	2.99547	0	not	0	Distal Intergenic	13	64560504	64650144	89641	2	ENSG00000227674	-2363	144766	LINC00355	long intergenic non-protein coding RNA 355	2363
chr13	27842928	27843271	344	*	2.99593	2.99593	1	overlapTSS	0	Promoter (1-2kb)	13	27844464	27847827	3364	1	ENSG00000122035	-1193	387496	RASL11A	RAS like family 11 member A	1193
chr8	26526239	26526582	344	*	2.99609	2.99609	0	not	0	Distal Intergenic	8	26629307	26629657	351	1	ENSG00000240519	-102725	NA	NA	NA	102725
chr20	62468321	62468658	338	*	2.99597	2.9965	0	not	0	Distal Intergenic	20	62375019	62462597	87579	2	ENSG00000130584	-5724	140685	ZBTB46	zinc finger and BTB domain containing 46	5724
chr8	42571442	42571779	338	*	2.99671	2.99671	0	not	0	Intron (ENST00000289957/ENSG00000147432, intron 3 of 5)	8	42560726	42577089	16364	2	ENSG00000255101	5310	NA	NA	NA	5310
chrX	152708633	152708970	338	*	2.997	2.997	8	overlapTSS	0	Downstream (1-2kb)	23	152689210	152691934	2725	1	ENSG00000259886	19423	NA	NA	NA	19423
chr3	182443274	182443611	338	*	2.99705	2.99705	0	not	0	Distal Intergenic	3	182457457	182458636	1180	2	ENSG00000260377	15025	NA	NA	NA	15025
chr19	7587055	7587386	332	*	2.99755	2.99755	1	overlapTSS	0	Promoter (<=1kb)	19	7587512	7598895	11384	1	ENSG00000090674	-126	57192	MCOLN1	mucolipin 1	126
chr9	124444981	124445314	334	*	2.99768	2.9977	0	not	0	Intron (ENST00000394340/ENSG00000136848, intron 2 of 5)	9	124337170	124338493	1324	2	ENSG00000229854	-106488	NA	NA	NA	106488
chr14	104892178	104892507	330	*	2.99803	2.99803	0	not	0	Distal Intergenic	14	104867280	104867385	106	2	ENSG00000222761	-24793	NA	NA	NA	24793
chr3	194591864	194592193	330	*	2.9982	2.9982	0	not	0	Distal Intergenic	3	194548619	194553321	4703	1	ENSG00000238031	43245	NA	NA	NA	43245
chr2	239151658	239151985	328	*	2.99832	2.99832	1	overlapTSS	0	Intron (ENST00000456601/ENSG00000225057, intron 3 of 6)	2	239146908	239149303	2396	2	ENSG00000144485	-2355	55502	HES6	hes family bHLH transcription factor 6	2355
